run,status,duration_ms,duration_s,answer_token_est,question_token_est,answer
49,504,20088,20.088,20,25,504 Gateway Time-out 504 Gateway Time-out Microsoft-Azure-Application-Gateway/v2
50,200,7699,7.699,61,25,"The deadline for most individuals to file a personal income tax return in Canada is April 30, 2026, and for self-employed individuals or their spouses/common-law partners, it is June 15, 2026, with any taxes owed still due by April 30, 2026."
32,200,5901,5.901,74,25,"The deadline for most individuals to file their personal income tax return for 2025 is April 30, 2026, with an extended deadline of June 15, 2026, for those who are self-employed or have a spouse/common-law partner who is self-employed, but any balance owing must still be paid by April 30, 2026."
67,200,5879,5.879,67,25,"The deadline for most individuals to file their 2025 personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for self-employed individuals and their spouses or common-law partners, but any tax owed must still be paid by April 30, 2026."
86,200,5836,5.836,73,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026, with a June 15, 2026 deadline for those who were self-employed or whose spouse/common-law partner was self-employed in 2025, although any taxes owed must still be paid by April 30, 2026."
81,200,5601,5.601,71,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended filing deadline of June 15, 2026, for those who or whose spouse or common-law partner were self-employed in 2025, but any taxes owed must be paid by April 30, 2026."
46,200,5469,5.469,26,25,"The deadline for most individuals to file their personal income tax return in Canada is April 30, 2026."
18,200,5422,5.422,60,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, with any taxes owed to be paid by April 30, 2026."
19,200,5388,5.388,75,25,"The deadline for most individuals to file their personal income tax return in Canada for the 2025 tax year is April 30, 2026, with an extended deadline of June 15, 2026, if they or their spouse or common-law partner were self-employed in 2025, but any taxes owed must still be paid by April 30, 2026."
75,200,5326,5.326,67,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for those who are self-employed or their spouse/common-law partner is self-employed, the deadline is June 15, 2026, with any taxes owed still due by April 30, 2026."
26,200,5240,5.240,64,25,"The deadline for most individuals to file their personal income tax return for 2025 is April 30, 2026, with a June 15, 2026 deadline if you or your spouse or common-law partner were self-employed in 2025, but any taxes owed must be paid by April 30, 2026."
85,200,5201,5.201,59,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, and if you or your spouse or common-law partner were self-employed in 2025, the deadline is June 15, 2026, with any taxes owed still due by April 30, 2026."
10,200,5122,5.122,58,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with June 15, 2026, as the deadline for those who were self-employed or whose spouse/common-law partner was self-employed in 2025."
80,200,5082,5.082,69,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, with an extended deadline of June 15, 2026, if you or your spouse or common-law partner were self-employed in 2025, but any balance owing must still be paid by April 30, 2026."
22,200,4970,4.970,63,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouses or common-law partners, who have until June 15, 2026, to file, but any balance owing must be paid by April 30, 2026."
38,200,4878,4.878,57,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and for those who are self-employed or their spouse/common-law partner, it is June 15, 2026, with payment due by April 30, 2026."
16,200,4820,4.820,66,25,"The deadline to file a personal income tax return in Canada for most individuals is April 30, 2026, and if you or your spouse or common-law partner were self-employed in 2025, the deadline is June 15, 2026, but any taxes owed must still be paid by April 30, 2026."
74,200,4795,4.795,64,25,"The deadline to file a personal income tax return in Canada is April 30, 2026, except for self-employed individuals and their spouses or common-law partners who have until June 15, 2026 to file, though any taxes owed must still be paid by April 30, 2026."
